place_id,rating,lat,long,day,open_time,close_time,type_title
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,3,900,2000,store
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,4,900,2000,establishment
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,4,900,2000,home_goods_store
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,4,900,2000,store
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,5,900,2000,establishment
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,5,900,2000,home_goods_store
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,5,900,2000,store
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,6,900,2000,establishment
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,6,900,2000,home_goods_store
ChIJ0016pB_Nm1QRhtsYBDpBuzg,,47.404785,-120.290665,6,900,2000,store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,0,1000,1800,convenience_store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,0,1000,1800,establishment
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,0,1000,1800,food
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,0,1000,1800,health
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,0,1000,1800,pharmacy
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,0,1000,1800,store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,1,800,2100,convenience_store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,1,800,2100,establishment
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,1,800,2100,food
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,1,800,2100,health
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,1,800,2100,pharmacy
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,1,800,2100,store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,2,800,2100,convenience_store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,2,800,2100,establishment
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,2,800,2100,food
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,2,800,2100,health
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,2,800,2100,pharmacy
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,2,800,2100,store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,3,800,2100,convenience_store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,3,800,2100,establishment
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,3,800,2100,food
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,3,800,2100,health
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,3,800,2100,pharmacy
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,3,800,2100,store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,4,800,2100,convenience_store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,4,800,2100,establishment
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,4,800,2100,food
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,4,800,2100,health
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,4,800,2100,pharmacy
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,4,800,2100,store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,5,800,2100,convenience_store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,5,800,2100,establishment
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,5,800,2100,food
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,5,800,2100,health
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,5,800,2100,pharmacy
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,5,800,2100,store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,6,900,1800,convenience_store
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,6,900,1800,establishment
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,6,900,1800,food
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,6,900,1800,health
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,6,900,1800,pharmacy
ChIJ0017QfHcyIkRkWTzEG5YAo4,,40.283698,-77.0494,6,900,1800,store
ChIJ001BoDWIZIgR2BQhYdgkHJI,2.7,36.100011,-86.922763,0,1300,1700,establishment
ChIJ001BoDWIZIgR2BQhYdgkHJI,2.7,36.100011,-86.922763,1,900,1800,establishment
ChIJ001BoDWIZIgR2BQhYdgkHJI,2.7,36.100011,-86.922763,2,900,1800,establishment
ChIJ001BoDWIZIgR2BQhYdgkHJI,2.7,36.100011,-86.922763,3,900,1800,establishment
ChIJ001BoDWIZIgR2BQhYdgkHJI,2.7,36.100011,-86.922763,4,900,1800,establishment
ChIJ001BoDWIZIgR2BQhYdgkHJI,2.7,36.100011,-86.922763,5,900,1800,establishment
ChIJ001BoDWIZIgR2BQhYdgkHJI,2.7,36.100011,-86.922763,6,1000,1700,establishment
ChIJ001QsbQ7xIkRDGMXCfgxXdY,,40.579413,-75.478793,0,1200,1700,establishment
ChIJ001QsbQ7xIkRDGMXCfgxXdY,,40.579413,-75.478793,0,1200,1700,store
ChIJ001QsbQ7xIkRDGMXCfgxXdY,,40.579413,-75.478793,1,900,1900,establishment
ChIJ001QsbQ7xIkRDGMXCfgxXdY,,40.579413,-75.478793,1,900,1900,store
